col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,label_0,label_1,label_2,label_3,label_4,label_5,label_6
A1,600,_1,_1,_4,_6,_2,_10,_0,_0,50,0,0,_0,_1,0,0,0,0,0,0,0
A1,700,_1,_5,_1,_10,_6,_10,_3,_1,75,1,1,_0,_1,0,1,1,0,0,1,0
A1,200,_1,_5,_1,_10,_6,_10,_3,_4,75,1,1,_0,_1,0,1,1,0,0,1,0
A1,300,_1,_5,_0,_6,_10,_2,_3,_4,25,0,0,_0,_1,0,0,1,0,0,0,0
A1,600,_2,_1,_4,_10,_2,_6,_0,_0,99,0,5,_0,_1,0,1,1,1,0,1,1
A1,200,_1,_5,_1,_6,_6,_10,_1,_0,50,0,0,_0,_1,0,0,0,0,0,0,0
A1,500,_1,_5,_0,_6,_6,_10,_1,_2,25,0,0,_0,_2,0,0,1,0,0,0,0
A1,700,_1,_5,_2,_10,_6,_9,_0,_0,100,1,1,_0,_1,1,1,0,1,0,0,0
A1,750,_2,_5,_1,_6,_1,_2,_0,_1,50,1,0,_0,_1,0,1,1,0,0,0,0
A1,200,_1,_12,_4,_2,_7,_6,_0,_0,75,1,0,_0,_1,0,1,1,0,0,0,0
A1,200,_1,_1,_4,_2,_7,_1,_0,_0,100,2,1,_0,_1,1,0,0,0,0,0,0
A1,300,_1,_14,_2,_1,_2,_7,_0,_0,100,2,1,_0,_1,0,1,1,0,0,0,0
A1,7000,_1,_1,_1,_2,_6,_10,_3,_3,50,1,5,_0,_1,1,0,1,0,0,0,0
A1,1700,_1,_1,_1,_2,_6,_10,_0,_1,100,2,2,_2,_1,1,1,1,0,0,0,0
A1,8000,_1,_1,_3,_2,_10,_7,_0,_0,100,9,9,_0,_1,0,1,1,0,0,0,0
A1,30000,_1,_1,_3,_1,_1,_1,_0,_0,100,2,10,_0,_1,1,1,1,1,1,0,0
A1,300,_1,_12,_4,_1,_1,_1,_0,_0,100,5,10,_0,_1,0,1,1,0,1,0,0
A1,300,_1,_15,_1,_1,_1,_9,_0,_0,75,0,5,_0,_1,0,1,1,0,0,0,0
A1,1600,_3,_1,_0,_2,_6,_2,_3,_1,75,2,1,_0,_1,1,1,1,1,0,0,0
A1,3800,_6,_1,_2,_6,_6,_2,_3,_1,25,0,0,_0,_1,1,0,1,0,1,0,0
A1,7000,_6,_1,_1,_6,_10,_2,_3,_4,50,0,0,_0,_1,1,0,1,0,0,0,0
A1,2500,_1,_1,_3,_10,_2,_6,_0,_1,100,0,1,_0,_1,1,0,1,0,0,1,0
A1,800,_1,_1,_0,_1,_2,_7,_3,_4,100,2,1,_0,_1,0,1,1,0,0,0,0
A1,1700,_1,_1,_3,_10,_6,_2,_0,_0,100,0,0,_0,_1,0,1,1,0,0,0,0
A1,300,_1,_1,_2,_7,_2,_10,_0,_0,100,5,5,_2,_1,1,0,0,0,0,1,0
A1,4500,_1,_1,_1,_2,_2,_9,_3,_2,100,9,9,_0,_1,1,1,1,0,1,0,0
A1,1000,_1,_12,_4,_2,_2,_1,_0,_0,100,5,9,_0,_1,0,1,0,0,0,0,0
A1,7000,_1,_1,_4,_2,_2,_1,_0,_0,100,5,5,_0,_1,0,0,0,1,1,0,1
A1,30000,_1,_1,_3,_2,_2,_1,_1,_0,100,5,5,_0,_1,1,1,1,0,0,1,1
A1,7000,_1,_1,_3,_2,_2,_7,_0,_0,100,0,1,_0,_1,0,1,1,0,1,0,0
A1,3300,_1,_1,_3,_2,_1,_7,_0,_0,100,5,5,_0,_1,0,1,0,0,1,0,0
A1,2100,_1,_1,_3,_2,_9,_2,_0,_0,50,0,1,_0,_1,0,0,0,0,1,0,0
A1,500,_1,_1,_0,_2,_10,_6,_3,_4,100,2,1,_0,_1,1,1,0,0,0,0,0
A1,400,_2,_1,_2,_2,_10,_10,_0,_0,100,1,5,_0,_1,0,1,0,0,0,0,0
A1,300,_1,_1,_1,_2,_10,_10,_0,_0,100,2,2,_0,_1,0,1,1,0,0,0,0
A1,1100,_1,_1,_0,_2,_6,_10,_3,_4,100,2,2,_0,_1,0,1,1,0,0,0,0
A1,1000,_1,_1,_2,_2,_10,_6,_0,_0,100,1,1,_0,_1,0,0,0,1,0,0,0
A1,400,_1,_5,_1,_6,_2,_10,_1,_0,75,2,0,_0,_1,0,0,1,0,1,0,1
A1,100,_1,_1,_2,_2,_6,_10,_0,_0,100,1,1,_0,_1,0,1,0,0,0,0,0
A1,100,_1,_5,_1,_7,_2,_6,_3,_0,100,2,1,_0,_1,1,0,0,0,0,0,0
A1,80000,_1,_12,_4,_2,_2,_7,_0,_0,100,5,5,_0,_1,1,0,0,1,1,0,0
A1,200,_1,_12,_4,_2,_2,_7,_0,_0,100,5,5,_0,_1,0,0,1,1,1,0,0
A1,100,_1,_11,_4,_2,_6,_7,_0,_0,100,5,5,_0,_1,0,0,1,0,1,0,0
A1,2500,_1,_1,_3,_7,_2,_9,_0,_0,75,0,2,_0,_1,0,1,0,0,0,0,0
A1,31000,_6,_1,_0,_2,_7,_6,_3,_4,100,5,5,_0,_1,1,1,1,0,0,0,0
A1,500,_1,_12,_4,_2,_7,_2,_0,_0,100,5,5,_0,_1,1,1,1,1,1,0,0
A1,25000,_5,_1,_0,_2,_9,_7,_3,_4,75,0,0,_0,_1,1,0,0,1,0,0,0
A1,40000,_1,_1,_1,_2,_2,_6,_3,_2,100,5,0,_0,_1,1,1,0,1,0,1,0
A1,1900,_7,_12,_4,_2,_6,_7,_0,_0,100,5,5,_0,_1,1,1,0,0,1,1,0
A1,30,_1,_1,_2,_2,_7,_6,_0,_0,75,0,1,_0,_1,0,1,1,0,0,1,0
A1,4300,_1,_1,_3,_1,_2,_2,_0,_0,100,5,5,_0,_1,1,1,1,0,1,0,1
A1,4000,_1,_1,_3,_1,_1,_2,_0,_0,100,5,5,_0,_1,1,1,1,0,0,0,0
A1,300,_1,_1,_4,_1,_2,_6,_0,_0,99,2,2,_0,_1,0,1,0,0,0,0,0
A1,400,_1,_1,_2,_1,_7,_6,_0,_0,100,0,1,_0,_1,0,1,0,0,0,1,0
A1,1000,_1,_1,_1,_2,_2,_1,_0,_0,100,5,5,_0,_1,1,1,1,1,1,1,0
A1,1500,_2,_2,_2,_7,_2,_6,_1,_2,100,5,0,_0,_1,0,1,1,0,0,0,0
A1,300,_1,_14,_3,_7,_2,_1,_0,_0,100,5,5,_0,_1,1,1,1,0,1,1,0
A1,600,_1,_1,_2,_7,_1,_10,_0,_0,100,2,2,_0,_1,0,0,0,0,1,0,0
A1,28300,_4,_1,_1,_2,_7,_6,_3,_2,100,0,0,_0,_1,1,1,1,1,0,0,0
A1,1000,_1,_1,_0,_1,_6,_7,_3,_3,75,0,0,_0,_1,1,0,1,0,0,0,0
A1,50,_1,_1,_2,_2,_7,_10,_0,_0,100,5,5,_0,_1,1,1,1,1,0,0,0
A1,9000,_2,_2,_0,_10,_1,_7,_1,_2,100,1,1,_0,_1,1,0,1,0,0,0,0
A1,19300,_2,_1,_1,_2,_6,_1,_3,_3,75,2,0,_0,_1,1,1,1,1,1,0,0
A1,100,_1,_1,_4,_2,_9,_1,_0,_0,100,1,2,_0,_1,1,0,1,0,0,0,0
A1,3500,_1,_2,_0,_6,_9,_2,_0,_0,50,0,0,_0,_1,1,1,1,0,0,0,0
A1,300,_1,_12,_3,_7,_2,_1,_0,_0,100,5,5,_0,_1,1,1,0,0,0,0,0
A1,100,_1,_12,_4,_7,_2,_1,_0,_0,100,5,5,_0,_1,0,1,0,0,0,0,0
A1,200,_1,_12,_4,_7,_2,_6,_0,_0,100,0,0,_0,_1,0,1,0,0,0,0,0
A1,300,_1,_12,_4,_2,_2,_7,_0,_0,100,2,5,_0,_1,0,1,0,0,0,0,0
A1,300,_1,_11,_3,_7,_1,_1,_0,_0,100,10,10,_0,_1,1,1,1,0,1,0,0
A1,300,_1,_11,_3,_1,_2,_10,_0,_0,100,10,10,_0,_1,1,1,0,1,0,0,0
A1,300,_1,_14,_3,_7,_2,_1,_0,_0,100,5,5,_0,_1,1,1,1,0,0,0,0
A1,1000,_1,_1,_2,_2,_7,_9,_0,_0,75,0,0,_0,_1,0,0,1,0,0,0,0
A1,9100,_1,_1,_0,_7,_10,_2,_3,_3,100,5,5,_0,_1,1,0,0,0,0,0,0
A1,100,_1,_11,_4,_1,_10,_2,_0,_0,100,10,10,_0,_1,1,1,1,0,1,0,0
A1,100,_1,_1,_2,_2,_7,_6,_0,_0,100,2,2,_2,_1,1,0,0,0,0,0,0
A1,300,_1,_1,_3,_2,_2,_1,_0,_0,100,5,1,_0,_1,0,0,0,1,1,0,0
A1,500,_2,_1,_0,_2,_9,_1,_3,_3,100,1,2,_0,_1,0,0,1,0,0,0,0
A1,1000,_1,_1,_3,_2,_1,_9,_0,_0,100,2,5,_0,_1,0,0,0,0,1,0,0
A1,500,_1,_12,_4,_7,_1,_1,_0,_0,100,10,10,_0,_1,1,0,1,0,0,1,0
S52,600,_2,_1,_1,_1,_10,_6,_3,_1,100,1,0,_0,_1,1,1,1,0,1,1,1
S52,1300,_1,_1,_0,_1,_10,_6,_3,_1,100,1,1,_0,_1,0,1,1,0,0,0,0
S52,2000,_3,_1,_4,_10,_10,_11,_0,_0,100,5,5,_0,_1,0,1,1,0,0,0,0
S52,300,_1,_15,_2,_2,_11,_6,_0,_0,100,2,5,_0,_1,0,1,1,0,1,0,0
S52,10050,_1,_1,_2,_1,_10,_6,_0,_1,100,5,5,_0,_1,0,1,1,1,0,1,1
S52,9000,_3,_1,_2,_10,_10,_10,_0,_1,100,9,9,_0,_1,1,1,1,0,1,0,0
S52,300,_1,_15,_3,_10,_10,_10,_0,_0,100,9,9,_0,_1,0,1,1,0,1,0,0
S52,300,_1,_14,_1,_2,_10,_10,_0,_0,100,5,5,_0,_1,0,1,1,0,1,0,0
S52,3500,_1,_1,_2,_7,_6,_1,_0,_0,100,2,2,_0,_1,1,1,1,1,0,1,0
S52,300,_1,_15,_0,_2,_9,_7,_0,_0,100,1,1,_0,_1,1,0,0,0,0,0,0
S52,16000,_4,_1,_2,_7,_9,_2,_0,_2,100,1,5,_0,_1,1,1,1,1,0,1,0
S52,500,_1,_14,_1,_14,_1,_6,_0,_0,100,2,2,_0,_1,1,1,1,1,0,1,0
S52,3500,_1,_1,_3,_7,_1,_2,_0,_0,100,2,2,_0,_1,1,1,1,0,0,1,0
S52,300,_1,_15,_1,_1,_7,_2,_0,_0,100,5,5,_0,_1,1,1,0,1,0,1,0
S52,5000,_1,_1,_0,_1,_10,_2,_3,_2,100,5,5,_0,_1,1,1,1,1,0,1,0
S52,10000,_1,_1,_3,_1,_10,_6,_0,_1,100,5,5,_0,_1,1,1,1,1,1,1,1
S52,10000,_4,_1,_0,_10,_2,_6,_0,_1,75,0,0,_0,_1,0,1,1,0,1,0,0
S52,29000,_3,_1,_2,_10,_6,_1,_3,_3,100,2,0,_0,_1,1,1,1,1,1,1,1
S52,8250,_1,_1,_3,_6,_2,_10,_0,_0,100,1,2,_0,_1,1,1,1,1,1,1,1
S52,250,_1,_7,_1,_1,_10,_6,_0,_0,100,2,5,_0,_1,1,1,1,1,1,1,1
S52,80000,_2,_1,_1,_7,_6,_2,_3,_4,100,2,2,_0,_1,1,1,1,0,0,0,0
S52,300,_1,_15,_1,_2,_7,_2,_0,_0,100,1,1,_0,_1,0,1,1,0,0,0,0
S52,500000,_9,_1,_3,_10,_6,_2,_3,_3,75,1,1,_0,_1,1,1,1,1,1,1,1
S52,50000,_10,_1,_4,_2,_10,_6,_0,_0,100,2,2,_0,_1,1,1,1,1,1,1,1
S52,8000,_1,_1,_2,_1,_10,_6,_3,_2,100,0,2,_0,_1,1,1,0,0,0,0,0
S52,450,_1,_1,_1,_6,_10,_10,_0,_1,25,1,1,_0,_1,1,1,1,0,1,1,0
S52,300,_1,_15,_0,_1,_10,_6,_0,_0,100,0,1,_0,_1,0,1,0,0,0,0,0
S52,50,_1,_1,_1,_6,_10,_10,_0,_0,50,0,0,_0,_1,0,1,1,0,1,0,0
S52,50,_1,_1,_2,_10,_10,_6,_0,_0,100,9,5,_0,_1,1,1,0,0,0,0,0
S52,8300,_2,_1,_2,_1,_10,_6,_3,_3,100,2,2,_0,_1,1,1,1,0,1,0,0
S52,1800,_1,_1,_0,_10,_1,_6,_3,_2,100,1,2,_0,_1,1,1,1,1,1,1,1
S52,150,_2,_1,_1,_1,_10,_6,_0,_1,100,0,1,_0,_1,1,1,1,1,1,1,1
S52,500,_1,_1,_3,_10,_1,_6,_0,_0,75,0,1,_0,_1,1,1,1,1,1,1,0
S52,900,_1,_1,_1,_1,_10,_6,_3,_2,100,2,2,_0,_1,1,1,1,1,1,1,0
S52,300,_1,_15,_1,_10,_1,_6,_0,_0,100,1,1,_0,_1,0,1,1,0,0,0,0
S52,300,_1,_15,_1,_10,_1,_6,_0,_0,100,1,1,_0,_1,0,1,1,0,0,0,0
S52,300,_1,_15,_1,_1,_10,_6,_1,_0,100,1,1,_0,_1,0,1,0,0,0,0,0
S52,3000,_1,_1,_3,_2,_10,_6,_0,_1,100,5,5,_0,_1,1,1,1,0,0,1,0
S52,450,_1,_1,_1,_10,_10,_10,_3,_3,100,5,2,_0,_1,1,1,0,1,0,1,0
S52,300,_1,_15,_1,_1,_10,_6,_0,_0,100,5,5,_0,_1,1,0,0,1,0,0,0
S52,200,_1,_5,_2,_10,_6,_1,_3,_0,100,1,1,_0,_1,1,1,1,0,0,0,0
S52,700,_1,_1,_0,_10,_6,_7,_3,_2,100,1,1,_0,_1,1,1,1,0,1,1,1
S52,300,_1,_14,_1,_10,_6,_2,_0,_0,100,1,1,_0,_1,0,1,0,0,0,0,0
S52,300,_1,_12,_2,_10,_10,_2,_0,_0,50,2,5,_0,_1,0,1,0,0,0,0,0
S52,300,_1,_15,_1,_10,_10,_6,_0,_0,100,0,2,_0,_1,0,0,0,0,0,0,0
S52,300,_1,_15,_1,_1,_7,_6,_0,_0,100,1,1,_0,_1,0,0,0,0,1,0,0
S52,200,_1,_1,_1,_6,_10,_1,_0,_0,100,1,1,_0,_1,1,1,1,1,1,1,1
S52,350,_1,_1,_2,_10,_1,_6,_0,_0,100,1,1,_0,_1,1,1,1,1,1,1,0
S52,300,_1,_15,_1,_1,_1,_1,_0,_0,100,5,5,_0,_1,0,0,0,0,0,0,0
S52,1000,_1,_12,_1,_1,_1,_10,_0,_0,100,2,9,_0,_1,0,1,0,0,0,0,0
S52,100,_1,_1,_1,_1,_7,_10,_0,_0,100,9,9,_0,_1,0,1,1,1,0,0,0
S52,300,_1,_15,_1,_1,_7,_1,_0,_0,100,2,5,_0,_1,0,0,0,0,0,0,0
S52,6300,_3,_1,_0,_7,_1,_5,_0,_0,100,2,1,_0,_1,1,1,1,0,0,0,0
S52,3400,_2,_2,_0,_6,_7,_10,_0,_0,75,1,1,_0,_1,1,0,0,0,0,1,0
S52,2400,_2,_1,_0,_2,_6,_10,_3,_4,75,1,1,_0,_1,1,0,0,0,0,0,0
S52,115000,_5,_1,_0,_10,_2,_6,_3,_4,100,0,1,_0,_1,1,1,0,0,0,0,0
S52,40000,_4,_1,_1,_10,_7,_6,_3,_4,100,1,1,_0,_1,1,1,1,1,1,0,0
S52,300,_1,_1,_0,_6,_9,_2,_3,_3,50,0,0,_0,_1,1,1,1,0,1,0,0
S52,1500,_1,_1,_0,_9,_6,_6,_3,_0,25,0,0,_0,_1,1,0,0,0,0,0,0
S52,4000,_2,_1,_0,_1,_10,_6,_3,_4,100,2,1,_0,_1,1,1,0,0,0,0,0
S52,360000,_12,_1,_1,_10,_1,_7,_3,_4,100,1,1,_0,_1,1,1,1,1,1,1,0
S52,4100,_5,_1,_1,_1,_10,_2,_3,_3,100,0,1,_0,_1,1,1,1,0,1,0,0
S52,2300,_1,_1,_1,_2,_6,_10,_1,_3,100,0,0,_0,_1,1,1,1,1,1,1,0
S52,1500,_3,_1,_1,_2,_1,_10,_3,_3,100,2,2,_0,_1,1,1,1,1,1,1,0
S52,300,_1,_1,_3,_2,_1,_6,_0,_0,100,2,1,_0,_1,1,1,0,0,0,0,0
S52,15000,_2,_1,_2,_2,_1,_10,_3,_3,100,0,1,_0,_1,1,1,1,0,0,1,0
S52,1700,_1,_1,_3,_9,_6,_2,_0,_0,25,0,0,_0,_1,1,1,1,0,1,1,0
S52,2500,_2,_1,_3,_2,_6,_10,_0,_0,75,0,0,_0,_1,1,1,1,1,0,1,0
S52,2400,_1,_1,_2,_2,_10,_1,_0,_1,100,1,1,_0,_1,1,1,1,0,1,1,0
S52,300,_1,_12,_3,_2,_10,_1,_0,_0,100,1,1,_0,_1,1,1,1,1,1,0,0
S52,2600,_2,_1,_2,_9,_2,_6,_3,_2,50,0,1,_0,_1,1,1,1,0,0,0,0
S52,600,_1,_1,_4,_9,_2,_10,_0,_0,50,0,0,_0,_1,0,1,0,1,0,0,0
S52,2000,_1,_1,_3,_9,_2,_6,_0,_0,50,0,0,_0,_1,1,1,1,0,0,0,0
S52,26000,_3,_1,_1,_1,_2,_10,_3,_4,100,1,2,_0,_1,1,1,1,1,1,1,0
S52,350,_1,_1,_0,_2,_1,_10,_3,_3,100,1,1,_0,_1,1,1,1,1,1,1,0
S52,200,_1,_1,_3,_2,_6,_5,_0,_0,50,1,1,_1,_2,1,1,1,0,0,0,0
S52,2300,_1,_1,_2,_1,_1,_6,_0,_0,100,2,1,_0,_1,1,1,1,0,1,1,0
S52,300,_1,_15,_1,_1,_1,_6,_0,_0,100,1,1,_2,_1,0,1,0,0,0,0,0
S52,600,_1,_5,_2,_6,_6,_10,_3,_2,100,2,2,_0,_1,1,1,1,1,1,1,0
S52,300,_1,_12,_3,_1,_2,_10,_0,_0,100,1,2,_0,_1,0,1,0,0,0,0,0
S52,1400,_1,_1,_1,_1,_2,_10,_0,_0,100,5,5,_0,_1,1,1,1,1,1,1,0
S52,3000,_1,_1,_3,_2,_10,_1,_0,_0,100,5,2,_0,_1,1,1,1,1,1,1,0
S52,300,_1,_15,_1,_1,_1,_10,_0,_0,100,5,5,_0,_1,0,1,0,0,0,0,0
S52,2300,_1,_1,_1,_2,_6,_10,_3,_3,50,1,0,_0,_1,1,1,1,0,1,0,0
S52,2600,_1,_1,_2,_2,_10,_6,_0,_0,50,0,0,_0,_1,1,1,1,0,1,0,0
S52,300,_1,_14,_1,_2,_7,_10,_0,_0,100,2,0,_0,_1,0,1,1,1,0,0,0
S52,300,_1,_1,_3,_6,_2,_9,_0,_0,25,0,0,_0,_1,1,1,1,1,1,0,0
S52,22000,_1,_1,_4,_6,_9,_6,_0,_0,100,0,0,_0,_1,1,1,1,1,1,0,0
S52,300,_1,_12,_3,_10,_2,_1,_0,_0,100,2,0,_0,_1,0,1,0,0,0,0,0
S52,300,_1,_12,_4,_1,_10,_2,_0,_0,100,5,5,_0,_1,0,1,0,0,0,0,0
S52,1000,_2,_1,_3,_2,_6,_1,_0,_0,100,0,1,_0,_1,1,1,1,1,1,1,1
S52,300,_1,_15,_1,_1,_1,_9,_0,_0,100,0,1,_0,_1,0,1,0,0,0,0,0
S52,300,_1,_15,_1,_1,_1,_10,_0,_0,100,9,5,_0,_1,0,1,0,0,0,0,0
S52,1100,_2,_1,_3,_2,_6,_6,_0,_0,100,0,0,_0,_1,0,1,1,1,1,1,1
S52,200,_1,_1,_1,_6,_6,_2,_0,_0,75,0,0,_0,_1,0,1,1,1,1,1,1
S52,1000,_1,_1,_4,_2,_1,_6,_0,_0,100,1,1,_0,_1,1,0,0,0,1,0,0
S52,300,_1,_14,_2,_2,_9,_7,_0,_0,75,0,2,_0,_1,0,1,0,0,0,0,0
S52,1000,_1,_14,_2,_7,_1,_9,_0,_0,75,1,2,_0,_1,0,1,0,0,0,0,0
S52,1100,_1,_5,_0,_2,_1,_10,_3,_3,100,5,1,_0,_2,0,0,0,0,0,0,0
S52,2500,_1,_1,_4,_2,_6,_7,_0,_0,100,5,1,_0,_1,1,1,1,0,1,1,0
S52,4000,_2,_1,_1,_4,_6,_9,_3,_2,80,1,1,_0,_1,1,1,1,0,1,1,1
S52,200,_1,_12,_3,_10,_1,_6,_0,_0,100,1,2,_0,_1,0,1,1,0,0,0,0
S52,350,_1,_1,_0,_2,_6,_10,_1,_3,100,1,1,_0,_1,1,1,1,0,0,0,0
S52,4000,_1,_12,_4,_2,_6,_10,_0,_0,100,1,1,_0,_1,0,1,1,0,0,0,0
S52,2300,_1,_12,_3,_2,_2,_1,_0,_0,75,2,1,_0,_1,0,1,0,0,0,0,0
S52,300,_1,_14,_2,_7,_10,_2,_0,_0,100,5,5,_0,_1,1,1,1,1,0,1,0
S52,500,_1,_1,_4,_1,_10,_2,_0,_0,100,5,5,_0,_1,1,1,1,1,0,1,0
S52,300,_1,_12,_3,_2,_1,_6,_0,_0,100,1,0,_0,_1,0,1,1,0,0,0,0
S52,300,_1,_12,_3,_2,_6,_10,_0,_0,100,1,1,_0,_1,0,1,1,0,0,0,0
