col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,label_0,label_1,label_2,label_3,label_4,label_5,label_6,label_7,label_8,label_9
C,C,E,B,A,A,A,A,A,A,B,A,B,B,A,B,A,A,A,B,A,A,A,A,A,A,A,A,A,B,B,C,B,C,D,C,B,D,D,D,C,D,C,B,0,0,0,0,0,0,0,0,0,0
E,E,E,E,E,A,A,E,E,E,E,D,E,A,E,E,E,E,D,C,B,B,A,C,C,B,C,A,B,B,A,E,D,E,C,C,C,D,E,E,E,E,C,C,0,0,0,0,0,1,0,1,0,0
C,C,C,C,B,D,C,B,B,C,D,E,C,D,D,D,D,D,D,C,B,A,B,C,C,C,C,C,D,C,D,D,C,D,C,D,C,D,B,B,B,C,C,C,0,0,0,0,0,0,0,0,0,0
D,C,D,C,D,D,D,D,D,D,E,D,D,E,D,D,D,D,D,E,B,B,B,B,C,B,B,B,B,D,C,D,D,C,D,C,C,D,D,D,D,C,C,C,0,0,0,0,0,0,1,1,0,0
C,C,B,B,B,B,A,A,A,A,A,B,A,B,B,B,B,B,C,B,B,A,A,A,A,C,B,C,B,B,B,B,D,A,C,C,B,C,D,C,C,C,B,A,0,0,0,0,0,0,0,0,0,0
A,A,B,A,A,C,A,A,A,B,A,C,B,A,C,A,C,B,A,B,A,A,A,A,C,C,A,A,A,A,E,B,C,D,A,C,C,B,C,B,B,B,C,A,0,0,0,0,0,0,0,0,0,0
D,D,D,C,B,D,E,D,C,C,C,C,C,D,C,D,D,D,D,C,D,D,D,D,C,D,D,C,C,C,B,C,D,E,D,D,C,D,C,D,D,C,C,C,0,0,0,0,0,0,0,0,0,0
C,B,C,C,C,B,A,D,D,C,E,D,C,D,E,D,C,D,C,B,C,B,B,C,D,D,C,C,C,D,B,B,D,C,A,A,B,C,C,C,B,B,B,A,0,0,0,0,1,1,1,1,1,1
C,C,B,A,A,E,B,D,D,D,D,D,D,D,D,D,D,D,D,D,C,C,C,D,C,D,C,D,C,D,B,B,C,C,C,B,B,B,B,B,B,B,B,B,0,0,0,0,0,0,0,0,0,0
B,B,B,B,B,C,A,C,C,C,D,A,A,C,B,A,B,C,B,A,A,A,A,B,B,B,B,B,B,B,B,B,D,C,C,C,A,C,C,C,C,E,D,D,0,0,0,0,0,0,0,0,0,0
E,E,E,D,E,A,A,E,E,D,E,E,E,E,E,D,E,E,E,E,E,D,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,E,E,D,E,A,A,E,E,D,E,E,E,E,E,D,E,E,E,E,E,D,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,E,D,E,D,A,B,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,E,D,E,D,A,B,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,E,D,E,D,A,B,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,E,E,E,D,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,E,D,C,E,A,A,E,D,C,E,E,E,E,D,C,E,E,E,E,D,C,E,E,E,E,D,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,E,D,C,E,A,A,E,D,C,E,E,E,E,D,C,E,E,E,E,D,C,E,E,E,E,D,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,E,E,D,E,A,A,E,E,D,E,E,E,E,E,D,E,E,E,E,E,D,E,E,E,E,E,D,E,E,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
D,D,E,E,D,B,B,D,E,E,D,D,D,D,E,E,D,D,D,D,E,E,D,D,D,D,E,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,E,E,D,E,A,A,E,E,D,E,E,E,E,E,D,E,E,E,E,E,D,E,E,E,E,E,D,E,E,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
E,D,D,D,E,B,A,D,D,D,E,D,E,D,D,D,E,D,E,D,D,D,E,D,E,D,D,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,D,D,D,E,B,A,D,D,D,E,D,E,D,D,D,E,D,E,D,D,D,E,D,E,D,D,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,E,E,E,D,A,B,E,E,E,D,E,D,E,E,E,D,E,D,E,E,E,D,E,D,E,E,E,D,E,E,D,E,D,D,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
D,D,D,E,D,B,B,D,D,E,D,D,D,D,D,E,D,D,D,D,D,E,D,D,D,D,D,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,C,D,E,E,C,A,C,D,E,E,C,E,C,D,E,E,C,E,C,D,E,E,C,E,C,D,E,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,D,D,E,D,B,B,D,D,E,D,D,D,D,D,E,D,D,D,D,D,E,D,D,D,D,D,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,D,E,D,D,B,B,D,E,D,D,D,D,D,E,D,D,D,D,D,E,D,D,D,D,D,E,D,D,D,E,E,E,E,D,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,D,D,E,D,B,B,D,D,E,D,D,D,D,D,E,D,D,D,D,D,E,D,D,D,D,D,E,D,D,E,E,E,E,D,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,E,D,C,D,A,B,E,D,C,D,E,D,E,D,C,D,E,D,E,D,C,D,E,D,E,D,C,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,D,D,C,E,B,A,D,D,C,E,D,E,D,D,C,E,D,E,D,D,C,E,D,E,D,D,C,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,E,D,C,D,A,B,E,D,C,D,E,D,E,D,C,D,E,D,E,D,C,D,E,D,E,D,C,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,D,E,D,E,B,A,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
E,D,D,E,E,B,A,D,D,E,E,D,E,D,D,E,E,D,E,D,D,E,E,D,E,D,D,E,E,D,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
D,E,C,D,D,A,B,E,C,D,D,E,D,E,C,D,D,E,D,E,C,D,D,E,D,E,C,D,D,E,E,E,E,E,D,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,E,E,D,D,A,B,E,E,D,D,E,D,E,E,D,D,E,D,E,E,D,D,E,D,E,E,D,D,E,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
D,D,D,D,D,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,D,D,D,E,B,A,D,D,D,E,D,E,D,D,D,E,D,E,D,D,D,E,D,E,D,D,D,E,D,E,D,E,D,E,E,D,E,E,D,D,E,E,D,1,0,1,0,1,1,0,1,1,1
D,D,C,D,D,B,B,D,D,D,E,D,D,D,D,D,D,D,E,D,D,D,D,E,D,D,C,E,D,E,E,E,E,D,D,D,E,E,E,E,D,D,E,E,1,1,1,1,1,1,1,1,1,0
D,D,C,D,D,B,B,D,D,D,E,D,D,D,D,D,D,D,E,D,D,D,D,E,D,D,C,E,D,E,E,E,E,D,D,D,E,E,E,E,D,D,E,E,1,1,1,1,1,1,1,1,1,0
E,D,D,D,E,B,A,D,D,D,E,D,E,D,D,D,E,D,E,D,D,D,E,D,E,D,D,D,E,D,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
D,C,D,E,D,C,B,C,D,E,D,C,D,C,D,E,D,C,D,C,D,E,D,C,D,C,D,E,D,C,E,E,E,E,D,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,C,D,C,E,C,A,C,D,C,E,C,E,C,D,C,E,C,E,C,D,C,E,C,E,C,D,C,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,E,D,D,D,A,B,E,D,D,D,E,D,E,D,D,D,E,D,E,D,D,D,E,D,E,D,D,D,E,D,E,D,E,D,E,D,E,D,D,E,D,E,D,0,1,0,1,0,1,0,1,0,1
D,D,D,C,D,B,B,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,C,D,C,E,C,A,C,D,C,E,C,E,C,D,C,E,C,E,C,D,C,E,C,E,C,D,C,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,D,C,D,D,B,B,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,D,D,C,D,B,B,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,D,C,D,D,B,B,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,C,D,C,E,C,A,C,D,C,E,C,E,C,D,C,E,C,E,C,D,C,E,C,E,C,D,C,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,D,D,C,D,B,B,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,C,D,C,E,C,A,C,D,C,E,C,E,C,D,C,E,C,E,C,D,C,E,C,E,C,D,C,E,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,D,D,C,D,B,B,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,E,E,E,E,D,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
E,D,C,D,E,B,A,D,C,D,E,D,E,D,C,D,E,D,E,D,C,D,E,D,E,D,C,D,E,D,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
D,D,D,E,D,B,B,D,D,E,D,D,D,D,D,E,D,D,D,D,D,E,D,D,D,D,D,E,D,D,D,E,D,E,D,E,D,E,D,D,E,D,E,D,0,1,0,1,0,1,0,1,0,1
E,D,D,C,E,B,A,D,D,C,E,D,E,D,D,C,E,D,E,D,D,C,E,D,E,D,D,C,E,D,E,D,E,D,D,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
E,D,C,D,E,B,A,D,C,D,E,D,E,D,C,D,E,D,E,D,C,D,E,D,E,D,C,D,E,D,D,E,D,E,D,E,D,E,D,D,E,D,E,D,0,1,0,1,0,1,0,1,0,1
D,E,D,E,D,A,B,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,0,0,0,0,0,0
D,E,D,E,D,A,B,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,0,0,0,0,0,0
D,D,D,D,D,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
D,C,D,C,D,C,B,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,C,D,C,D,C,B,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,C,C,D,D,C,B,C,C,D,D,C,D,C,C,D,D,C,D,C,C,D,D,C,D,C,C,D,D,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,C,D,C,D,C,B,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,C,D,C,D,C,B,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,1
D,D,E,E,D,B,B,D,E,E,D,D,D,D,E,E,D,D,D,D,E,E,D,D,D,D,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,0,0,0,0,0,0
D,D,D,C,D,B,B,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
D,D,C,D,D,B,B,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
E,C,C,D,E,C,A,C,C,D,E,C,E,C,C,D,E,C,E,C,C,D,E,C,E,C,C,D,E,C,E,D,E,D,E,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
D,D,D,C,D,B,B,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,E,D,E,D,D,D,E,D,E,E,D,E,D,E,1,0,1,0,1,0,1,0,1,0
E,E,E,D,E,C,E,E,E,D,E,E,E,E,E,E,E,E,E,E,E,D,A,E,A,E,E,A,E,E,A,E,E,B,E,A,E,E,E,D,E,E,E,E,1,0,0,0,0,0,1,0,0,1
D,D,D,C,D,B,B,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,D,D,C,D,D,D,E,D,E,D,E,D,E,D,D,E,D,E,D,0,1,0,1,0,1,0,1,0,1
C,C,D,C,C,C,C,C,D,C,C,C,C,C,D,C,C,C,C,C,D,C,C,C,C,C,D,C,C,C,E,E,E,E,E,E,E,E,E,E,E,E,E,E,1,1,1,1,1,1,1,1,1,0
D,D,D,D,D,B,B,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,0,0,0,0,0,0
E,D,D,D,D,B,E,A,E,D,D,D,D,E,D,D,D,D,D,D,D,D,C,C,C,C,D,C,C,C,C,E,D,D,D,D,D,D,D,D,D,D,D,D,0,0,0,0,0,1,1,1,0,0
D,C,D,C,D,C,B,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,C,D,E,D,E,D,E,D,E,D,D,E,D,E,D,0,1,0,1,0,1,0,1,0,0
E,E,D,D,E,A,E,C,E,E,D,E,E,E,E,E,E,E,E,E,A,A,C,E,E,E,E,B,B,A,E,C,E,E,E,C,E,E,D,E,E,B,B,A,0,0,0,0,0,0,1,1,1,1
D,C,E,D,D,C,D,C,C,D,E,D,C,D,B,D,D,D,D,E,C,B,A,C,C,C,C,C,C,D,D,D,A,A,A,A,A,D,D,D,D,D,D,D,0,0,0,0,1,1,1,1,1,0
C,C,C,D,C,D,C,B,D,C,B,C,C,C,D,D,D,D,D,C,C,B,B,D,D,D,C,D,C,C,D,D,D,E,C,C,D,D,C,B,B,C,C,C,0,0,0,0,0,0,1,1,1,1
D,C,E,D,D,C,D,C,C,D,E,D,C,C,B,D,D,D,D,E,C,B,A,C,C,C,C,C,C,D,D,D,A,D,A,A,A,D,D,D,D,D,D,D,0,0,0,0,1,1,1,1,0,0
E,C,E,C,B,C,D,B,B,D,D,D,C,C,D,C,C,D,D,C,C,C,C,D,E,E,D,D,D,E,E,E,B,E,B,C,B,D,D,D,D,B,B,B,0,0,0,0,1,0,1,1,0,0
C,A,C,E,C,C,E,D,E,D,C,D,D,A,E,E,D,D,D,C,C,B,C,A,A,A,A,A,C,C,D,D,D,E,E,C,D,C,C,D,D,E,C,C,0,0,0,0,0,0,0,0,0,0
E,E,D,D,C,A,C,E,E,D,E,D,E,D,E,E,E,D,D,D,C,D,D,D,D,D,B,D,D,C,D,D,C,D,C,C,C,C,C,D,D,D,D,E,0,1,1,1,1,1,1,1,1,0
E,E,D,E,E,A,A,E,E,E,E,E,E,E,E,D,D,E,E,D,C,C,D,B,C,C,B,D,C,C,D,D,D,D,D,B,C,D,C,C,C,C,B,C,0,0,0,1,1,0,0,0,0,0
